objid,type,ra,dec,u,g,r,i,z,redshift
1237648720693690458,GALAXY,179.635281744382,-0.526862173695986,21.32178,18.89616,17.74703,17.43416,17.05155,Null
1237648720693690466,STAR,179.646305922715,-0.496642091095308,17.27362,16.16356,15.77368,15.6356,15.60089,Null
1237648720693690572,GALAXY,179.611197134167,-0.552533368892136,19.82584,18.06018,17.04848,16.62231,16.22571,0.1265668
1237648720693690602,GALAXY,179.657253397678,-0.470187132164294,20.11829,18.41495,17.56465,17.18363,16.88807,0.08380059
1237648720693690618,GALAXY,179.663320481839,-0.483176301713996,19.63891,17.67242,16.72043,16.31215,15.96298,Null
1237648720693690671,GALAXY,179.593152295932,-0.601956462355454,21.77176,19.61615,18.29999,17.77067,17.4156,Null
1237648720693690682,STAR,179.604098937814,-0.565258300945825,23.13358,20.402,18.94843,17.43427,16.58337,Null
1237648720693690685,GALAXY,179.622809607242,-0.53683308337688,20.98287,19.30015,18.49811,18.03557,17.65158,Null
1237648720693690742,GALAXY,179.574657273563,-0.514275512078963,21.32475,20.31866,19.96564,19.70828,19.55132,Null
1237648720693690801,GALAXY,179.657919671068,-0.605718252931797,21.83989,20.02948,18.8803,18.37982,17.92088,Null
1237648720693755918,GALAXY,179.689293428393,-0.454379058425512,19.09722,17.60256,16.82659,16.43768,16.14087,0.09484052
1237648720693755949,STAR,179.718188652827,-0.456743973819018,15.51026,13.50678,12.87903,12.69285,13.76258,Null
1237648720693756154,STAR,179.713207494271,-0.484210568555115,20.0931,17.27864,15.78917,14.30741,13.49994,Null
1237674649391595539,STAR,179.485840956054,-0.668118127396326,18.75657,15.97658,14.44532,16.76135,12.14565,Null
1237674649391595572,STAR,179.536229128558,-0.671605691078166,15.29998,14.19427,14.84572,13.64209,13.5619,Null
